"source","listing_no","room_id","url","agency","agent_name","agent_phone","region","address","latitude","longitude","address_public_level","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","area_m2","floor","direction","parking","move_in","approval_date","building_use","options","security_options","image_1","image_2","crawl_note"
"dabang","57143314","6a0d15daefff5a5dc390c58d","https://www.dabangapp.com/room/6a0d15daefff5a5dc390c58d","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 팔달구 우만동","경기도 수원시 팔달구 우만동","37.2758489563","127.042927489","dong_only_ask_agency_for_exact_jibun","LINEㅣ유학생 모여라ㅣ보증금 월세 최저가ㅣ빠른입주 가능ㅣ분리형ㅣ","200","28","7","35","원룸(분리형)","19.83","반지층/3층","북서","가능","2026.05.29 (협의 가능)","1996.06.11","단독주택","벽걸이형; 책상; 옷장; 냉장고; 세탁기; 싱크대; 가스레인지; 베란다","","https://d1774jszgerdmk.cloudfront.net/1024/zCkETYzf2rbX-dBDgyvxB","https://d1774jszgerdmk.cloudfront.net/1024/J2dBwBwpaN_2LZ8a6v30D",""
"dabang","57027161","6a03d64c182b9749cdaf5cc7","https://www.dabangapp.com/room/6a03d64c182b9749cdaf5cc7","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동","37.275888110485596","127.04426251259831","dong_only_ask_agency_for_exact_jibun","LINEㅣ아주대 최저가 풀옵션 원룸ㅣ갓성비 1등ㅣ선착순ㅣ","300","30","6","36","원룸","19.83","2층/3층","동","가능","2026.06.30","2001.11.07","단독주택","벽걸이형; 침대; 책상; 신발장; 냉장고; 세탁기; 싱크대; 가스레인지","","https://d1774jszgerdmk.cloudfront.net/1024/EJ734cy5tsDArJik-hKwv","https://d1774jszgerdmk.cloudfront.net/1024/YV2Dw8KKOjiGs2T7670iE",""
"dabang","57006799","6a0282b29451e22c3cbf7537","https://www.dabangapp.com/room/6a0282b29451e22c3cbf7537","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 팔달구 우만동","경기도 수원시 팔달구 우만동","37.2762529348","127.0420572573","dong_only_ask_agency_for_exact_jibun","LINEㅣ최저가 원룸ㅣ아주대 8분컷ㅣ조용한 주택가ㅣ초인기매물 선착순ㅣ","500","39","5","44","원룸","19.83","1층/3층","남","가능","즉시 입주 (협의 가능)","2004.02.11","단독주택","벽걸이형; 신발장; 냉장고; 세탁기; 싱크대; 가스레인지; 붙박이장; 베란다","","https://d1774jszgerdmk.cloudfront.net/1024/9sctEejMuHVTFKeP4lk7H","https://d1774jszgerdmk.cloudfront.net/1024/ElxDBgACOYX1C9_0Wet91",""
"dabang","56986319","6a013da2718c0460f647bce2","https://www.dabangapp.com/room/6a013da2718c0460f647bce2","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동","37.2760391737","127.0450879582","dong_only_ask_agency_for_exact_jibun","LINEㅣ가성비 월세 원룸ㅣ풀옵션+베란다ㅣ컨디션 굿굿 추천매물ㅣ","1000","35","10","45","원룸","23.14","2층/3층","북","가능","2026.08.05 (협의 가능)","2002.05.27","단독주택","벽걸이형; 침대; 책상; 옷장; 신발장; 냉장고; 세탁기; 싱크대; 가스레인지; 베란다","","https://d1774jszgerdmk.cloudfront.net/1024/Q-5mb1kLWBA9NZKv8gUh2","https://d1774jszgerdmk.cloudfront.net/1024/53-TskYykhbTp8CbXxQz5",""
"dabang","57143080","6a0d147779700e50d307b116","https://www.dabangapp.com/room/6a0d147779700e50d307b116","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동","37.2773727917","127.0448812832","dong_only_ask_agency_for_exact_jibun","LINEㅣ아주대도보3분컷ㅣ가성비 1등 원룸ㅣ풀옵션ㅣ선착순ㅣ","500","35","10","45","원룸","19.83","2층/4층","북","가능","2026.07.14","2011.12.30","제2종근린생활시설","벽걸이형; 책상; 신발장; 냉장고; 세탁기; 싱크대; 인덕션","","https://d1774jszgerdmk.cloudfront.net/1024/n90ptgfXYnhVGkIRGod05","https://d1774jszgerdmk.cloudfront.net/1024/ZTFnT_Dmyvqu1in4remTg",""
"dabang","56934200","69fc28833c423c6206318246","https://www.dabangapp.com/room/69fc28833c423c6206318246","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동","37.2760391737","127.0450879582","dong_only_ask_agency_for_exact_jibun","LINE l 상태좋은원룸 가성비NO1 베란다까지 l","1000","35","10","45","원룸","23.14","2층/3층","북서","가능","2026.07.31 (협의 가능)","2002.05.27","단독주택","벽걸이형; 침대; 책상; 옷장; 신발장; 냉장고; 세탁기; 싱크대; 가스레인지; 전자레인지; 베란다","인터폰; CCTV","https://d1774jszgerdmk.cloudfront.net/1024/c-u_gFVOkkK_COP8Vd2w3","https://d1774jszgerdmk.cloudfront.net/1024/GQ3322OztVVXx_rmYQ2jM",""
"dabang","57143386","6a0d16595befe96aa776e76b","https://www.dabangapp.com/room/6a0d16595befe96aa776e76b","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동","37.2773727917","127.0448812832","dong_only_ask_agency_for_exact_jibun","LINE l 깔끔한 원룸 l 가성비 + 위치","500","35","10","45","원룸","19.83","2층/4층","북","가능","2026.07.14 (협의 가능)","2011.12.30","제2종근린생활시설","벽걸이형; 책상; 신발장; 냉장고; 세탁기; 싱크대; 인덕션; 전자레인지","인터폰; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/ICuPm0JPwOFjUzzCn5nd6","https://d1774jszgerdmk.cloudfront.net/1024/W8bgTXQeiaNxO3uPikU-5",""
"dabang","57099881","6a0a682b8812273c6571c451","https://www.dabangapp.com/room/6a0a682b8812273c6571c451","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동","37.2739669010654","127.044771020618","dong_only_ask_agency_for_exact_jibun","LINEㅣ깔끔원룸 1등+엘베OKㅣ아주대도보OKㅣ가성비 최고 선착순ㅣ","500","35","12","47","원룸","19.83","5층/8층","남","가능","즉시 입주 (협의 가능)","2012.06.04","제2종근린생활시설","벽걸이형; 옷장; 신발장; 냉장고; 세탁기; 싱크대; 인덕션; 화재경보기","","https://d1774jszgerdmk.cloudfront.net/1024/g0gqz7KdPFqbY87jehfpR","https://d1774jszgerdmk.cloudfront.net/1024/6OmrsxAQFSWBMr0c62B1G",""
"dabang","57107526","6a0a8145a5700a63f0b3a230","https://www.dabangapp.com/room/6a0a8145a5700a63f0b3a230","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동","37.2739669010654","127.044771020618","dong_only_ask_agency_for_exact_jibun","LINE l 깔끔한 가성비원룸 l 엘베있음","500","35","12","47","원룸","19.83","5층/8층","남","가능","즉시 입주 (협의 가능)","2012.06.04","제2종근린생활시설","벽걸이형; 옷장; 냉장고; 세탁기; 싱크대; 인덕션; 화재경보기","비디오폰; 인터폰; CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/Rprapl8x_N_CNQaVOAcj8","https://d1774jszgerdmk.cloudfront.net/1024/nKnmbK9PpvbhLwJ7LOpDk",""
"dabang","56757989","69eec9335982154a4fc95c1b","https://www.dabangapp.com/room/69eec9335982154a4fc95c1b","라인공인중개사사무소","임희주","031-8067-7499","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동","37.2737940423","127.044396587","dong_only_ask_agency_for_exact_jibun","LINE l 깔끔한 분리형 풀옵션 원룸 아대도보10분 l","1000","40","8","48","원룸(분리형)","23.14","4층/4층","남동","가능","즉시 입주 (협의 가능)","2011.12.27","제2종근린생활시설","벽걸이형; 침대; 책상; 옷장; 신발장; 냉장고; 세탁기; 싱크대; 인덕션; 전자레인지; 화재경보기","인터폰; CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/ZG9UeKtdH7gWTbLM24wHX","https://d1774jszgerdmk.cloudfront.net/1024/4u462w_bMyNMp0uRKiljq",""
