"source","listing_no","url","writer_type","agency","region_depth1","region_depth2","region_depth3","address","latitude","longitude","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","room_count","area_m2","floor","approval_date","image_1","image_2","crawl_note"
"daangn","3386181","https://realty.daangn.com/articles/3386181","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.25564785548199","127.06139073246","분리형 원룸 300만원/35만원 - 조용하고 채광좋은 위치","300","35","7","42","SPLIT_ONE_ROOM","","21.49","7.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386181/01KPQNVG0Q635991ZA7PF2RJKV.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386181/01KPQNVGAFZS8F6EFFCV3C0S7M.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3386108","https://realty.daangn.com/articles/3386108","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.25504145296099","127.06039562956","분리형 원룸 300만원/38만원 - 삼성전자 도보3분","300","38","7","45","SPLIT_ONE_ROOM","","22.00","2.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386108/01KPQNF817WB5X102SEJZ6E9NF.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386108/01KPQNF89F4AMVHD487NCTQTAA.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3386045","https://realty.daangn.com/articles/3386045","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.25504145296099","127.06039562956","분리형 원룸 300만원/38만원 - 삼성전자 도보3분","300","38","7","45","SPLIT_ONE_ROOM","","22.00","4.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386045/01KPQN4ACS1MSE0CXPE4TDBZMJ.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386045/01KPQN4AMXAQDA9WPWY38VC22J.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3386066","https://realty.daangn.com/articles/3386066","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.25504145296099","127.06039562956","분리형 원룸 300만원/38만원 - 삼성전자 도보3분","300","38","7","45","SPLIT_ONE_ROOM","","22.00","7.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386066/01KPQN8PGYJ3HBKF8KEC91RXVH.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386066/01KPQN8PS2MD1KPT8GKP24HQMY.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3386503","https://realty.daangn.com/articles/3386503","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.26460398975499","127.06101795231","분리형 원룸 500만원/45만원 - 삼성전기 도보3분","500","45","8","53","SPLIT_ONE_ROOM","","22.00","7.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386503/01KPQQN6X3NXPN0PQC54K97030.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386503/01KPQQN75QCG6453K6G6SS3XMV.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3386481","https://realty.daangn.com/articles/3386481","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.26460398975499","127.06101795231","분리형 원룸 500만원/45만원 - 삼성전기 도보3분","500","45","8","53","SPLIT_ONE_ROOM","","22.00","3.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386481/01KPQQHEN9YEW1KFM4QH17CWN9.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386481/01KPQQHEXTS93NEP61V8XNYWW4.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3386426","https://realty.daangn.com/articles/3386426","BROKER","","경기도","수원시 영통구","매탄1동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.26460398975499","127.06101795231","분리형 원룸 500만원/45만원 - 삼성전기 도보3분","500","45","8","53","SPLIT_ONE_ROOM","","22.00","2.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3386426/01KPQQ5N9T8P1DJ5FA2NTXPN58.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3386426/01KPQQ5NHJNMNRZBCJKC3792TY.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3606533","https://realty.daangn.com/articles/3606533","BROKER","","경기도","수원시 영통구","매탄2동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.248550641901005","127.05505463383","분리형 원룸 3,000만원/28만원 - l당근l 망포역 도보 7분 깨끗해버린 원룸 여기있어요","3000","28","7.7","35.7","SPLIT_ONE_ROOM","","19.83","6.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3606533/01KS5PXS7ZYQE4Y1MVVYNR6NM7.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3606533/01KS5PXSGW5W7A4D7K270DD2VC.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3608649","https://realty.daangn.com/articles/3608649","BROKER","","경기도","수원시 영통구","매탄2동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.249943537593005","127.05792940525001","오픈형 원룸 300만원/28만원 - ㅣ좋은집ㅣ 망포역5분 대로변인접 즉시입주가능","300","28","8","36","OPEN_ONE_ROOM","","16.52","1.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3608649/01KS6SHJ3R5BAR2APEG6D0E9S6.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3608649/01KS6SHJ8X52XFVT6A4A3P1Z4E.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3535657","https://realty.daangn.com/articles/3535657","BROKER","","경기도","수원시 영통구","매탄2동","경기도 수원시 영통구 삼성로 291-11 (원천동)","37.249943537593005","127.05792940525001","분리형 원룸 300만원/28만원 - 망포역 도보권","300","28","8","36","SPLIT_ONE_ROOM","","16.52","1.0","2008-01-15","https://img.kr.gcp-karroter.net/realty/article/3535657/01KRDSECPVS91C2RV65RCCSHHF.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3535657/01KRDSECZTWWYE2483YSQXJSX7.png?q=95&s=1440x1440&t=inside&service=realty",""
