"source","listing_no","url","writer_type","agency","region_depth1","region_depth2","region_depth3","address","latitude","longitude","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","room_count","bathroom_count","area_m2","supply_area_m2","exclusive_area_m2","floor","direction","parking","elevator","pet_allowed","loan_available","move_in","published_at","confirmed_at","listing_age_text","approval_date","maintenance_detail","maintenance_basis","maintenance_items","building_use","options","description","image_1","image_2","crawl_note"
"daangn","3300910","https://realty.daangn.com/articles/3300910","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 광교로 116 (이의동)","37.290885511764984","127.04615443254","오피스텔 1억 2,300만원/15만원 - 경기도 수원시 영통구","12300","15","15","30","OFFICETEL","1","1","24.28","","24.28","9.0","남서향","","","","","","2026-05-19","2026-05-24","5일 전","2013-12-30","","","","","세탁기; 냉장고; 에어컨; 인덕션; 비데; 샤워부스; 붙박이장","━━━━━━━━━━━━━━━━━━

l 주거용 l 전입가능 l 6월입주가능 l LH가능 l

━━━━━━━━━━━━━━━━━━

✔️ 매물 한줄 요약
◽ 남서향으로 따뜻한 풀옵션 원룸
◽ LH가능 (1억 2,300/ 월 15 별도)
◽ 전세 시 1억3500으로 가능

━━━━━━━━━━━━━━━━━━

- 신분당선 광교중앙역 도보 5분
- 강남/사당 직행버스 도보2분, 서울역행 직행버스 도보5분
- 대형마트(롯데마트), 아울렛(롯데아울렛), 영화관(롯데시네마)근접
- 천정형에어컨,세탁기,냉장고,인덕션,붙박이장,샤워부스,비데 등


━━━━━━━━━━━━━━━━━━

🏘️ 광교 오피스텔 전문 광교에듀부동산은 금액 및 입주시기에 맞춰 최적의 집을 찾아드립니다.

🏘️ 상담과 문의사항이 있으신 분들은 언제든 편안하게 연락주세요.

🏘️ 고객만족과 올바른 중개서비스를 제공하는 부동산이 되겠습니다.

━━━━━━━━━━━━━━━━━━","https://img.kr.gcp-karroter.net/realty/article/3300910/01KNTWMP6QE4QS0F895KGZKVMF.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3300910/01KNTWMPD2YTZZT278N4J16F3X.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3575177","https://realty.daangn.com/articles/3575177","DIRECT_USER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 매영로247번길 19","37.259780598042994","127.06537535772","오픈형 원룸 300만원/30만원 - 영통역 14분 거리","300","30","7","37","OPEN_ONE_ROOM","1","1","19.90","","19.90","0.5","동향","","","","","","2026-05-18","2026-05-24","6일 전","2004-10-21","","","","","발코니","동향의반지하라 약간의 일조건있구요
아늑하고 편리하게 이용가능합니다
창문이 많고 발코니이용가능해요","https://img.kr.gcp-karroter.net/realty/article/3575177/01KRWN6MJCN6523XDMYPWKV7K8.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3575177/01KRWN6N29H1FZ90XR71FV31HK.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3574883","https://realty.daangn.com/articles/3574883","DIRECT_USER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 매영로247번길 19","37.259780596999995","127.06537531000001","오픈형 원룸 300만원/30만원 - 영통역 14분 거리","300","30","7","37","OPEN_ONE_ROOM","1","1","19.90","","19.90","0.5","","","","","","","2026-05-18","2026-05-24","6일 전","2004-11-26","","","","","",",즉시 입주가능해요
반지하라 시원하고 창문이 있어 통풍이 잘되고 씽크대 새것이라 깨끗해요","https://img.kr.gcp-karroter.net/realty/article/3574883/01KRWKXAF4SXT6R6MR3Y49K0AC.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3574883/01KRWKXAX4JKP5Q8WF0XYRFYTB.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3308921","https://realty.daangn.com/articles/3308921","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 삼성로277번길 23 (원천동)","37.267049490986","127.0633338108","분리형 원룸 500만원/35만원 - 삼성전기 도보5분 채광좋은 원룸 입니다.","500","35","7","42","SPLIT_ONE_ROOM","1","1","19.83","","19.83","3.0","","","","","","","2026-05-16","2026-05-24","8일 전","2008-05-22","관리비7만원","","","","세탁기; 냉장고; 에어컨; 가스레인지; TV","💫고객님의 시간을 가볍게 다루지 않습니다. 그에 걸맞게 보답하겠습니다.💫
✔️아침 7시부터 밤 늦게까지 매물 보여드릴수 있으니 언제든 연락주세요✔️
✔️010.7103.7623 문자 문의 환영합니다.궁금한거 있으시면 문자 주세요✔️


매물 특징
✔️월세:500/35,전세3,000가능
✔️관리비7만원
✔️구조:분리형 원룸
✔️옵션:TV,세탁기,냉장고,가스레인지,에어컨
✔️입주시기:즉시 입주가능
✔️주변 인프라편의점,주변 카페등 도보이용 가능 


✔️아침 7시부터 밤 늦게까지 매물 보여드릴수 있으니 언제든 연락주세요✔️




✔️100% 실매물: 허위 매물 제로! 직접 발로 뛰며 확인한 실제 사진과 정보만 제공합니다.
✔️공제보험 가입: 한국공인중개사협회 2억 원 손해배상 책임보장 공제 가입 업체로 안전한 계약을 보장합니다.
✔️권리분석 철저: 등기부등본 확인 및 근저당권 등 권리관계를 꼼꼼히 분석하여 안전성을 최우선으로 합니다.
✔️맞춤 입주 케어: 입주 전 하자 체크부터 공과금 정산까지 책임지고 도와드립니다.","https://img.kr.gcp-karroter.net/realty/article/3308921/01KS0B59S737TY8PS11RFVD2KN.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3308921/01KS0B5A263RJRS65S9WSJVHDZ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3284320","https://realty.daangn.com/articles/3284320","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 에듀타운로 101 (이의동) 106동","37.289076196180986","127.04527214951001","오피스텔 3억 8,000만원/20만원 - 경기도 수원시 영통구","38000","20","25","45","OFFICETEL","2","2","62.99","","62.99","12.0","","","","","","","2026-05-19","2026-05-24","5일 전","2014-02-28","","","","","주차","━━━━━━━━━━━━━━━━━━

l 주거용 l 따뜻한 고층 l 전입가능 l 6월 입주가능 l 

━━━━━━━━━━━━━━━━━━

🌱 해당 오피스텔 중요 설명 🌱

- 광교에듀하임1309오피스텔입니다.
- 광교중앙역(신분당선) 도보 5~8분
- 강남/사당/서울역 직통버스정류장 도보 2분
- 인근 광교테크노밸리, 한국나노기술원, 경기중소기업지원센터, CJ블로썸파크 도보 5분
- 아주대학교, 경기대학교 차량 5분
- 갤러리아백화점, 롯데아울렛, 이마트, 수원컨벤션센터 도보이용가능
- 교통, 주거, 쇼핑등 최적의 인프라를 갖춘 광교 오피스텔

- 총 1309세대의 대단지 오피스텔로 광교내 오피스텔 중 관리비가 가장 저렴합니다.
- 세대당주차대수 1대이며(추가가능), 지하주차장이 B2,B3,B4로 주차걱정 제로
- 휘트니스센터, 배드민턴장, 탁구장, 실내외 놀이터등 단지내 부대시설 
- 단지내상가 124개호실로 입주민을 위한 풍족한 편의시설 


━━━━━━━━━━━━━━━━━━

🏘️ 광교 오피스텔 전문 광교에듀부동산은 금액 및 입주시기에 맞춰 최적의 집을 찾아드립니다.

🏘️ 상담과 문의사항이 있으신 분들은 언제든 편안하게 연락주세요.

🏘️ 고객만족과 올바른 중개서비스를 제공하는 부동산이 되겠습니다.

━━━━━━━━━━━━━━━━━━","https://img.kr.gcp-karroter.net/realty/article/3284320/01KNTRPZ20P03RE7BD48FP7CZC.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3284320/01KNTRPZD29XQCBPMG7S8N3C23.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3559905","https://realty.daangn.com/articles/3559905","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 삼성로268번길 27 (원천동)","37.264845163345996","127.06451049107","분리형 원룸 500만원/40만원 - 영흥공원근처 세스코방역 관리1등♡","500","40","7","47","SPLIT_ONE_ROOM","1","1","23.10","","23.10","2.0","","","","","","","2026-05-15","2026-05-23","9일 전","2012-02-08","관리비:7만원","","","","세탁기; 냉장고; 에어컨; 인덕션; 옷장; 신발장; 붙박이장; 싱크대; 주차","☎031-212-8886 친절중개,정직중개,신뢰중개 빌립부동산입니다^-^

<서로 매너있는 좋은 거래 부탁드립니다. 물론 저희도 고객한분한분 정성으로 좋은방 소개하겠습니다>

💠매물정보💠
✔️ 특징:원천동 매물입니다. 
영흥숲공원 근처라 산책하기도 너무좋고요, 아주 조용하고 질서정연한 매우깔끔한 동네라
고객님들 선호도가 높은 동네입니다.
여기는 세스코방역도 주기적으로 하는곳이라 그정도로 관리1등입니다.
여름에 벌레 걱정 하덜덜마세요~^^ 정말 꺠끗하고 깔끔합니다. 건물 내부외부 아주 좋아요.
앞에전망이 탁 트여있어 환하고 밝고요 몰딩도 도배도 올화이트톤이라 깔끔합니다.
풀옵션이고 분리형이구요  취사가능합니다. 
엘배있습니다. 주차 다른곳보다 편해요^^. 위치조용하고 좋아서 추천드려요.
카페, 빨래방, 편의점 먹거리등 코앞에 있어 좋아요. 직접오셔서 확인해보세요. ^^
✔️ 월세:500/40
✔️ 관리비:7만원
✔️ 옵션:에어컨,인덕션,싱크대,티비,전자렌지.냉장고,세탁기,옷장,붙박이장,신발장,전자도어락 등
✔️ 주변: 편의점, 커피숍, 식당, 빨래방 등 편의시설 풍부 !
✔️ 전입신고+확정일자 OK !
✔️ 주택임대차보호법 적용 OK !

💠 믿을 수 있는 정확한 매물로 계약에서 입주까지 진심을 다하는 
빌립공인중개사무소💠
✔️ 직접 방문하여 찍은 실사진 ⭕
✔️ 허위매물 ❌
✔️ 광고에 없는 매물 다량 보유 !
✔️ 고객님이 원하시는 조건과 가격, 상황에 맞춰 맘에 쏙 드실 때까지 찾아드립니다.
✔️ 책임중개와 친절한 상담 약속드립니다.
✔️ 허위매물 예방을 위해 방문 전 전화주세요~ 상담 연중무휴 !

⭕ 2 억원의 손해배상 책임보증 공제가입 (한국공인중개사 협회)","https://img.kr.gcp-karroter.net/realty/article/3559905/01KRN5P6T2J91VB2WH89RQH6HC.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3559905/01KRN5P73CN93PT7Y03EMA80Z2.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3559286","https://realty.daangn.com/articles/3559286","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 삼성로268번길 27 (원천동)","37.264845163345996","127.06451049107","분리형 원룸 500만원/40만원 - 영흥숲공원근처,양창풀옵션 아늑하고퀄좋은방♡","500","40","7","47","SPLIT_ONE_ROOM","1","1","23.10","","23.10","5.0","","","","","","","2026-05-15","2026-05-23","9일 전","2012-02-08","관리비:7만원","","","","세탁기; 냉장고; 에어컨; 인덕션; 옷장; 신발장; 붙박이장; 싱크대; 주차","☎031-212-8886 친절중개,정직중개,신뢰중개 빌립부동산입니다^-^

<서로 매너있는 좋은 거래 부탁드립니다. 물론 저희도 고객한분한분 정성으로 좋은방 소개하겠습니다>

💠매물정보💠
✔️ 특징:원천동 매물입니다. 
영흥숲공원 근처라 산책하기도 너무좋고요, 아주 조용하고 질서정연한 매우깔끔한 동네라
고객님들 선호도가 높은 동네입니다.
양창으로 환기가 정말 잘되며 양쪽다 탁 트인 전망으로 답답함전혀없고
밝고환한방이라 들어갈때 기분이 참 좋았던 방입니다.
아직청소전 사진으로 곧 청소완료되면 바로 입주가능합니다.
풀옵션이고 분리형이구요  취사가능합니다. 
엘배있습니다. 주차 다른곳보다 편해요^^. 위치조용하고 좋아서 추천드려요.
카페, 빨래방, 편의점 먹거리등 코앞에 있어 좋아요. 직접오셔서 확인해보세요. ^^
✔️ 월세:500/40
✔️ 관리비:7만원
✔️ 옵션:에어컨,인덕션,싱크대,티비,냉장고,세탁기,옷장,붙박이장,신발장,전자도어락 등
✔️ 주변: 편의점, 커피숍, 식당, 빨래방 등 편의시설 풍부 !
✔️ 전입신고+확정일자 OK !
✔️ 주택임대차보호법 적용 OK !

💠 믿을 수 있는 정확한 매물로 계약에서 입주까지 진심을 다하는 
빌립공인중개사무소💠
✔️ 직접 방문하여 찍은 실사진 ⭕
✔️ 허위매물 ❌
✔️ 광고에 없는 매물 다량 보유 !
✔️ 고객님이 원하시는 조건과 가격, 상황에 맞춰 맘에 쏙 드실 때까지 찾아드립니다.
✔️ 책임중개와 친절한 상담 약속드립니다.
✔️ 허위매물 예방을 위해 방문 전 전화주세요~ 상담 연중무휴 !

⭕ 2 억원의 손해배상 책임보증 공제가입 (한국공인중개사 협회)","https://img.kr.gcp-karroter.net/realty/article/3559286/01KRN3JPTM8NPS5FE0AXMD2352.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3559286/01KRN3JQ5X3S9SNA9JPDA098SZ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3558864","https://realty.daangn.com/articles/3558864","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 매영로199번길 43 (원천동)","37.264637587411","127.06490844192001","분리형 원룸 300만원/40만원 - 영흥숲공원근처,가성비좋은풀옵션분리형 고층전망트임","300","40","7.5","47.5","SPLIT_ONE_ROOM","1","1","23.10","","23.10","7.0","","","","","","","2026-05-17","2026-05-24","7일 전","2012-06-13","","","","","세탁기; 냉장고; 에어컨; 인덕션; 옷장; 신발장; 붙박이장; 싱크대; 주차","☎031-212-8886 친절중개,정직중개,신뢰중개 빌립부동산입니다^-^

<서로 매너있는 좋은 거래 부탁드립니다. 물론 저희도 고객한분한분 정성으로 좋은방 소개하겠습니다>

💠매물정보💠
✔️ 특징:원천동 매물입니다. 
영흥숲공원 근처라 산책하기도 너무좋고요, 아주 조용하고 질서정연한 매우깔끔한 동네라
고객님들 선호도가 높은 동네입니다. 진짜 가격이 미쳤습니다 ^^
분리형 원룸입니다. 고층이라 전망이 확 트여있어 답답함 없고 채광도 아주좋아서
밝고환해요^^ 분리형으로 취사가능며 깔끔하고 군더더기없는 깨끗한방이라
적정한가격대에 추천드리고싶은 매물입니다. 풀옵션이라 몸만오시면되고요.
토퍼매트리스 정도 넣고 사시면 딱 좋으실것같아요. 
엘배있습니다. 주차 다른곳보다 편해요^^. 위치조용하고 좋아서 추천드려요.
카페, 빨래방, 편의점 먹거리등 코앞에 있어 좋아요. 직접오셔서 확인해보세요. ^^
✔️ 월세:300/40
✔️ 관리비:7만5천원
✔️ 옵션:에어컨,인덕션,싱크대,전자렌지,냉장고,세탁기,옷장,붙박이장,신발장,전자도어락 등
✔️ 주변: 편의점, 커피숍, 식당, 빨래방 등 편의시설 풍부 !
✔️ 전입신고+확정일자 OK !
✔️ 주택임대차보호법 적용 OK !

💠 믿을 수 있는 정확한 매물로 계약에서 입주까지 진심을 다하는 
빌립공인중개사무소💠
✔️ 직접 방문하여 찍은 실사진 ⭕
✔️ 허위매물 ❌
✔️ 광고에 없는 매물 다량 보유 !
✔️ 고객님이 원하시는 조건과 가격, 상황에 맞춰 맘에 쏙 드실 때까지 찾아드립니다.
✔️ 책임중개와 친절한 상담 약속드립니다.
✔️ 허위매물 예방을 위해 방문 전 전화주세요~ 상담 연중무휴 !

⭕ 2 억원의 손해배상 책임보증 공제가입 (한국공인중개사 협회)","https://img.kr.gcp-karroter.net/realty/article/3558864/01KRN26BJ17HVCVWHTQFTG3KM4.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3558864/01KRN26BSMDDC6ED2PGRW26S95.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3315429","https://realty.daangn.com/articles/3315429","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 영통구 삼성로268번길 25 (원천동)","37.26493788718598","127.06461044439999","분리형 원룸 300만원/42만원 - 영흥숲푸르지오부근","300","42","7","49","SPLIT_ONE_ROOM","1","1","16.52","","16.52","2.0","","","","","","","2026-05-16","2026-05-24","8일 전","2012-02-08","관리비:7만원","","","","세탁기; 건조기; 냉장고; 에어컨; TV; 침대","💫고객님의 시간을 가볍게 다루지 않습니다. 그에 걸맞게 보답하겠습니다.💫

✔️아침 7시부터 밤 늦게까지 매물 보여드릴수 있으니 언제든 연락주세요✔️
✔️010.7103.7623 문자 문의 환영합니다.궁금한거 있으시면 문자 주세요✔️


매물 특징
✔️✔️미니건조기 있어 관리 편한 분리형 원룸✔️✔️

✔️금액:300/42 OR 500/40
✔️관리비:7만원
✔️구조:분리형 원룸
✔️옵션:미니건조기,TV,침대,세탁기,냉장고,에어컨
✔️입주시기:4월20일 이후 입주가능
✔️주변 인프라편의점,주변 카페등 도보이용 가능 


✔️100% 실매물: 허위 매물 제로! 직접 발로 뛰며 확인한 실제 사진과 정보만 제공합니다.
✔️공제보험 가입: 한국공인중개사협회 2억 원 손해배상 책임보장 공제 가입 업체로 안전한 계약을 보장합니다.
✔️권리분석 철저: 등기부등본 확인 및 근저당권 등 권리관계를 꼼꼼히 분석하여 안전성을 최우선으로 합니다.
✔️맞춤 입주 케어: 입주 전 하자 체크부터 공과금 정산까지 책임지고 도와드립니다.","https://img.kr.gcp-karroter.net/realty/article/3315429/01KP29RF42ZXNWQF6XYJ4PRH7R.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3315429/01KP29RFH51PBCZVTT75FG3MGC.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3567086","https://realty.daangn.com/articles/3567086","BROKER","","경기도","수원시 영통구","광교1동","경기도 수원시 팔달구 권광로364번길 24 (우만동)","37.278721510823004","127.03861881291","오픈형 원룸 1,000만원/50만원 - 아주대인근, 오피스텔느낌 원룸","1000","50","8","58","OPEN_ONE_ROOM","1","1","17.10","","17.10","5.0","","","있음","","","","2026-05-16","2026-05-24","8일 전","2014-01-14","","","","","","아주대 인근 오피스텔 느낌 원룸입니다
엘베 있고 출퇴근 통학하기 좋습니다","https://img.kr.gcp-karroter.net/realty/article/3567086/01KRQTV2TVCXBMA5FJD1VSPEC0.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3567086/01KRQTV32QJXW5BSKK79D4KD0S.png?q=95&s=1440x1440&t=inside&service=realty",""
