"source","listing_no","room_id","url","agency","agent_name","agent_phone","region","address","latitude","longitude","address_public_level","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","area_m2","supply_area_m2","exclusive_area_m2","floor","direction","parking","move_in","published_at","confirmed_at","listing_age_text","approval_date","maintenance_detail","maintenance_basis","maintenance_items","building_use","options","security_options","description","image_1","image_2","crawl_note"
"dabang","56874044","69f81289df41ce22303ffe35","https://www.dabangapp.com/room/69f81289df41ce22303ffe35","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 505-10","37.2550163782381","127.060545444857","exact_address_visible","화이트톤 깔끔. 착한월세. 삼성전자 영통역 도보권","300","30","7","37","원룸","23.14","29.75","23.14","고층/7층","북","가능","즉시 입주","2026-05-04","","20일 전","2016-07-18","detail_code: E06; detail_cost: 70000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 신발장; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 300/30
▶관리비 : 7만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/grZmoAcNx5f8FuBnx1_dZ","https://d1774jszgerdmk.cloudfront.net/1024/RnrpQ427kniI1WT42fst8",""
"dabang","56970499","69fecaf83a82ca51c0fea4fb","https://www.dabangapp.com/room/69fecaf83a82ca51c0fea4fb","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 508-13","37.2556466741751","127.061389119618","exact_address_visible","여기가 내일은 내집. 화이트톤리뉴얼. 인기짱베란다. 단기가능","300","35","7","42","원룸(분리형)","23.14","26.44","23.14","중층/8층","북","가능","즉시 입주","2026-05-09","","15일 전","2010-05-13","detail_code: E06; detail_cost: 70000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 옷장; 신발장; 냉장고; 세탁기; TV; 화재경보기; 베란다","CCTV","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 300/35, 단기가능
▶관리비 : 7만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 초인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/nwg0qdLHhGPd35m-Y22cO","https://d1774jszgerdmk.cloudfront.net/1024/C3ZKpvgWVvrXmueHuQymK",""
"dabang","57169234","6a0ec45b1c4092251ed382e9","https://www.dabangapp.com/room/6a0ec45b1c4092251ed382e9","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 508-7","37.2557221977173","127.061704806477","exact_address_visible","여기가 딱이네. 단기가능. 영통역도보권","100","35","8","43","원룸(분리형)","23.14","26.44","23.14","중층/6층","동","가능","즉시 입주","2026-05-21","","3일 전","2010-02-25","detail_code: E06; detail_cost: 80000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 옷장; 신발장; 냉장고; 세탁기; TV; 화재경보기; 베란다","CCTV","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 100/35
▶관리비 : 8만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 초인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/Y40KKKU4RGo_f5BTWwbC0","https://d1774jszgerdmk.cloudfront.net/1024/ezYx_AOdWhmUGIMyO-LeR",""
"dabang","56874014","69f812417bd6c8226bbfbf8f","https://www.dabangapp.com/room/69f812417bd6c8226bbfbf8f","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 508-8","37.2557401409","127.0618536161","exact_address_visible","리뉴얼로 깔끔. 베란다굿. 영통역도보권","500","36","7","43","원룸(분리형)","23.14","26.44","23.14","고층/5층","동","가능","즉시 입주","2026-05-04","","20일 전","2010-02-25","detail_code: E06; detail_cost: 70000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 옷장; 냉장고; 세탁기; TV; 화재경보기; 베란다","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 500/36
▶관리비 : 7만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/NdEzFtZpbT52rXPliXWIk","https://d1774jszgerdmk.cloudfront.net/1024/yvEP3sV1WK2ybzC99MYmg",""
"dabang","57106632","6a0a7d71b9d62058977197b4","https://www.dabangapp.com/room/6a0a7d71b9d62058977197b4","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 영통동","경기도 수원시 영통구 영통동 71-3","37.2572489622","127.064343833","exact_address_visible","주차여유. 경희대통학용이. 영통역도보권. 가성비 굿","300","38","6","44","원룸","19.83","23.14","19.83","저층/6층","남동","가능","즉시 입주","2026-05-18","","6일 전","2011-05-06","detail_code: E06; detail_cost: 60000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 옷장; 신발장; 냉장고; 세탁기; TV; 화재경보기","CCTV","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 300/38
▶관리비 : 6만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금. 난방요금은 정액 36,400원
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 초인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/JVZ6T-gNDbj8SETMBL486","https://d1774jszgerdmk.cloudfront.net/1024/pJkr9BBoeNdawgLdUSIt-",""
"dabang","56523179","69dc6824b267dd0dde9ca8f7","https://www.dabangapp.com/room/69dc6824b267dd0dde9ca8f7","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 506-5","37.2553009065937","127.060937947879","exact_address_visible","단기 강력추천. 풀옵션. 밝은방. 영통역도보권","100","30","15","45","원룸(분리형)","23.14","26.44","23.14","중층/7층","북","가능","즉시 입주","2026-04-13","","41일 전","2012-12-20","detail_code: F01; detail_cost_formulated_type: FIXED_FEE; detail_cost: 130000; detail_code: F11; detail_cost_formulated_type: ACTUAL_EXPENSE; detail_code: F12; detail_cost_formulated_type: FIXED_FEE; detail_cost: 5000; detail_code: F13; detail_cost_formulated_type: ACTUAL_EXPENSE; detail_code: F14; detail_cost_formulated_type: ACTUAL_EXPENSE; detail_code: F15; detail_cost_formulated_type: FIXED_FEE; detail_cost: 10000; detail_code: F16; detail_cost_formulated_type: FIXED_FEE; detail_cost: 5000","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 신발장; 냉장고; 세탁기; 전자레인지; 붙박이장; 화재경보기","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 100/30
▶관리비 : 15만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/Lohz-NBoS5Red9hibo6ab","https://d1774jszgerdmk.cloudfront.net/1024/hxiirB7DkSDRbNgBPuX5Y",""
"dabang","56800672","69f1787b5e00bf241bdf8a90","https://www.dabangapp.com/room/69f1787b5e00bf241bdf8a90","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 492-44","37.2565445723856","127.060497069037","exact_address_visible","완전깔끔. 풀옵션. 밝은방","300","38","7","45","원룸(분리형)","23.14","26.44","23.14","고층/7층","북","가능","즉시 입주","2026-04-29","","25일 전","2011-11-07","detail_code: E06; detail_cost: 70000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 신발장; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 300/38
▶관리비 : 7만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/Psm7NjEnAYI0puBtaa_lz","https://d1774jszgerdmk.cloudfront.net/1024/KO4cGBurP2rxW55vW9g0Y",""
"dabang","56934650","69fc2b65f5f545620644be19","https://www.dabangapp.com/room/69fc2b65f5f545620644be19","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동 336","37.2643631664531","127.065125510804","exact_address_visible","리뉴얼로 깔끔하고 밝은방. 안보면 후회. 광교인접","300","40","7.5","47.5","원룸(분리형)","23.14","26.44","23.14","저층/7층","북서","가능","즉시 입주","2026-05-07","","17일 전","2012-11-19","detail_code: E06; detail_cost: 75000; detail_include_types: WATER_RATES; INTERNET_RATES; TV_RATES; PUBLIC_USE_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; 전자레인지; TV; 붙박이장; 화재경보기","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 300/40
▶관리비 : 7만5천원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/M74P4dbwN5fZqA8mdN0cM","https://d1774jszgerdmk.cloudfront.net/1024/voHLaaSSabsyIGGsZocOp",""
"dabang","56995312","6a016dbb384a904e89d84053","https://www.dabangapp.com/room/6a016dbb384a904e89d84053","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 361-15","37.2647619407931","127.060769700714","exact_address_visible","경희대 버정코앞. 흥덕IT밸리 출퇴근용이. 광교인접","500","40","7.7","47.7","원룸(분리형)","23.14","26.44","23.14","중층/7층","남동","가능","즉시 입주","2026-05-11","","13일 전","2015-05-15","detail_code: E06; detail_cost: 77000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 500/40, 단기 3개월 200/45 가능
▶관리비 : 7만7천원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/Q0Lv-Vha2rSzhAGZ6zFGb","https://d1774jszgerdmk.cloudfront.net/1024/H_jIfOXOtkH4l9tinZCne",""
"dabang","56874034","69f8127950cf6a241f1e5653","https://www.dabangapp.com/room/69f8127950cf6a241f1e5653","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 384-25","37.2610282816","127.0602616646","exact_address_visible","어디갈까 고민말고 일단한번 보러와봐. 컨디션 굿이거든","500","42","7.7","49.7","원룸","23.14","26.44","23.14","2층/6층","동","가능","즉시 입주","2026-05-04","","20일 전","2017-08-18","detail_code: E06; detail_cost: 77000; detail_include_types: PUBLIC_USE_RATES; WATER_RATES; INTERNET_RATES; TV_RATES; ETC_USE_RATES","FIXED_FEE_CHARGE","","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; TV; 붙박이장; 화재경보기; 베란다","CCTV; 현관보안","안녕하세요~
오랫동안 일해온 곳이라서 이 동네를 잘 알고 있는 365 부동산으로
오시면  등기부 권리분석 철저히 안전한 매물만 소개해 드리니 믿고 오시면 됩니다.

★★ 광고에 올리지 못한 물건 다량 보유중이니 원하는 조건
말씀해 주시면 맘에 쏙 들때까지 찾아 드립니다.★★

      ♠ 임대료 및 관리비 ♠

▶월(전)세 : 500/42
▶관리비 : 7.7만원(수도세,TV,인터넷,분리수거,공동전기료등 포함)
▶개별부담 : 세대내 전기요금,도시가스요금
▶즉시 입주 가능

     ♠ 위치 및 교통 ♠

▶수원 삼성전자, 삼성SDS, 삼성전기, 삼성 수원 사업장 최인접
▶이노플렉스, 현대 테라타워,팩토리월드등 도보가능

     ♠ 매물 설명 ♠

▶삼성직원 사내 새마을금고 대출 가능
▶cctv 및 입출입 통제시스템 등 보안 굿 !
▶엘리베이터, 주차장 보유
▶확정일자 및 전입신고 가능(건축법상 제2종 근린생활시설의 고시원 허가)
▶관리전문업체 관리로 쾌적한 주거환경
▶취사도구(휴대용 하일라이트)만 불법이나 임차인과는 무관합니다.
▶중개사고 방지위해 2억 공제증서 제공","https://d1774jszgerdmk.cloudfront.net/1024/D0RER04M5wn7bAIrUqbQ_","https://d1774jszgerdmk.cloudfront.net/1024/2VHvWpFKbB5MYBmgP-lFd",""
