"source","listing_no","room_id","url","agency","agent_name","agent_phone","region","address","latitude","longitude","address_public_level","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","area_m2","floor","direction","parking","move_in","approval_date","building_use","options","security_options","image_1","image_2","crawl_note"
"naver_land","2626530275","2626530275","https://new.land.naver.com/rooms?articleNo=2626530275","365부동산공인중개사사무소","","","","일반원룸","37.264866","127.064473","naver_public_listing_level","무융자. 세스코방역. 깔끔. 광교인접","500","40","","40","원룸","26/23","5/7","서향","","","2026.05.18","방","15년이내; 융자금없는; 화장실한개; 소형평수; 무융자. 세스코방역. 깔끔. 광교인접","","https://landthumb-phinf.pstatic.net/20260518_13/17791076479119YJil_JPEG/PM-1.P-eq/25e46b270422af16d4cc1ed78627f697.jpg","","Captured from Naver Land article list API."
"naver_land","2625918712","2625918712","https://new.land.naver.com/rooms?articleNo=2625918712","365부동산공인중개사사무소","","","","일반원룸","37.260845","127.06107","naver_public_listing_level","오피스텔급 깔끔. 샤워부스. 수납굿. 넓은방","500","50","","50","원룸","29/26","6/7","동향","","","2026.05.13","방","15년이내; 화장실한개; 소형평수; 방한개; 오피스텔급 깔끔. 샤워부스. 수납굿. 넓은방","","https://landthumb-phinf.pstatic.net/20260513_133/1778674558116mbBnW_JPEG/PM-1.P-eq/db2ce5193d1f7b97cfd55a96dc91473d.jpg","","Captured from Naver Land article list API."
"naver_land","2626713493","2626713493","https://new.land.naver.com/rooms?articleNo=2626713493","광교골드합동공인중개사사무소","","","","다가구","37.274539","127.05168","naver_public_listing_level","광교원천마을, 투룸월세, 빠른입주","2000","75","","75","단독/다가구","55/50","2/4","남향","","","2026.05.16","단독/다가구","15년이내; 화장실한개; 소형평수; 방두개; 광교원천마을, 투룸월세, 빠른입주","","","","Captured from Naver Land article list API."
"naver_land","2627717542","2627717542","https://new.land.naver.com/rooms?articleNo=2627717542","광교더샵골드공인중개사사무소","","","","더샵광교레이크시티","37.272348","127.060656","naver_public_listing_level","탁트인뷰.5월입주.1룸.전입o.풀옵션.특화된커뮤니티시설.","1000","88","","88","오피스텔","51/21","고/41","북동향","","","2026.05.22","오피스텔","10년이내; 대단지; 소형평수; 방한개; 탁트인뷰.5월입주.1룸.전입o.풀옵션.특화된커뮤니티시설.","","https://landthumb-phinf.pstatic.net/20260522_253/1779413875293khMJF_JPEG/2627717542_20260522103752742633.jpg","","Captured from Naver Land article list API."
"naver_land","2627723866","2627723866","https://new.land.naver.com/rooms?articleNo=2627723866","광교더샵골드공인중개사사무소","","","","더샵광교레이크시티","37.272348","127.060656","naver_public_listing_level","8월입주.투룸.거실양면창개방감굿.융자무.다양한커뮤니티시설.","44000","","","","오피스텔","109/46","고/41","남서향","","","2026.05.22","오피스텔","10년이내; 대단지; 화장실한개; 방두개; 8월입주.투룸.거실양면창개방감굿.융자무.다양한커뮤니티시설.","","https://landthumb-phinf.pstatic.net/20260522_214/1779414337212fgszl_JPEG/2627723866_20260522104535815683.jpg","","Captured from Naver Land article list API."
"naver_land","2627421320","2627421320","https://new.land.naver.com/rooms?articleNo=2627421320","광교더샵사랑공인중개사사무소","","","","일반원룸","37.269917","127.058297","naver_public_listing_level","빠른입주, 풀옵션, 주방분리형, 넓은방, 깨끗한 집","500","40","","40","원룸","25/22","저/4","남동향","","","2026.05.20","방","25년이내; 세대분리; 소형평수; 방한개; 빠른입주, 풀옵션, 주방분리형, 넓은방, 깨끗한 집","","","","Captured from Naver Land article list API."
"naver_land","2627680801","2627680801","https://new.land.naver.com/rooms?articleNo=2627680801","광교더샵사랑공인중개사사무소","","","","더샵광교레이크시티","37.272348","127.060656","naver_public_listing_level","빠른입주, 일반사업자, 수영장, 사우나, 식사라운지","5000","90","","90","오피스텔","90/39","저/41","남서향","","","2026.05.22","오피스텔","10년이내; 대단지; 방한개; 화장실한개; 빠른입주, 일반사업자, 수영장, 사우나, 식사라운지","","https://landthumb-phinf.pstatic.net/20260522_189/1779409765110obPaL_JPEG/2627680801_20260522092924404080.jpg","","Captured from Naver Land article list API."
"naver_land","2627468715","2627468715","https://new.land.naver.com/rooms?articleNo=2627468715","광교더샵파크공인중개사사무소","","","","더샵광교레이크시티","37.272348","127.060656","naver_public_listing_level","강추, 귀한 1룸,  빠른입주,전입0, 풀옵션, 확트인 호수뷰","16000","20","","20","오피스텔","51/21","37/41","북동향","","","2026.05.21","오피스텔","10년이내; 융자금적은; 대단지; 소형평수; 강추, 귀한 1룸,  빠른입주,전입0, 풀옵션, 확트인 호수뷰","","https://landthumb-phinf.pstatic.net/20260521_294/1779318912377csGGl_JPEG/2627468715_20260521081511548575.jpg","","Captured from Naver Land article list API."
"naver_land","2627468670","2627468670","https://new.land.naver.com/rooms?articleNo=2627468670","광교더샵파크공인중개사사무소","","","","더샵광교레이크시티","37.272348","127.060656","naver_public_listing_level","강추 귀한 1룸,  전입X. 풀옵션, 확트인 전망,호텔식커뮤니티","1000","75","","75","오피스텔","51/21","고/41","북동향","","","2026.05.21","오피스텔","10년이내; 융자금없는; 대단지; 소형평수; 강추 귀한 1룸,  전입X. 풀옵션, 확트인 전망,호텔식커뮤니티","","https://landthumb-phinf.pstatic.net/20260521_75/1779318852793uUXJe_JPEG/2627468670_20260521081411884180.jpg","","Captured from Naver Land article list API."
"naver_land","2627671437","2627671437","https://new.land.naver.com/rooms?articleNo=2627671437","광교더샵파크공인중개사사무소","","","","더샵광교레이크시티","37.272348","127.060656","naver_public_listing_level","강추, 확트인 뷰, 1.5룸. 정상입주가능,사업자,최고급오피스텔.","2000","140","","140","오피스텔","90/39","중/41","남서향","","","2026.05.22","오피스텔","10년이내; 융자금없는; 대단지; 방한개; 강추, 확트인 뷰, 1.5룸. 정상입주가능,사업자,최고급오피스텔.","","https://landthumb-phinf.pstatic.net/20260522_222/1779405374785ha8yU_JPEG/2627671437_20260522081611769565.jpg","","Captured from Naver Land article list API."
