"source","listing_no","url","writer_type","agency","region_depth1","region_depth2","region_depth3","address","latitude","longitude","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","room_count","area_m2","floor","approval_date","image_1","image_2","crawl_note"
"daangn","3300910","https://realty.daangn.com/articles/3300910","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.290885511764984","127.04615443254","오피스텔 1억 2,300만원/15만원 - 경기도 수원시 영통구","12300","15","15","30","OFFICETEL","","24.28","9.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3300910/01KNTWMP6QE4QS0F895KGZKVMF.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3300910/01KNTWMPD2YTZZT278N4J16F3X.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3419541","https://realty.daangn.com/articles/3419541","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.296415103596004","127.08000692367001","투룸이상 2억/25만원 - 상현역 15분 거리","20000","25","10","35","TWO_ROOM","","49.60","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3419541/01KQ682RA1CJT667EKS08W7WJE.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3419541/01KQ682RF85C3SJ3489SXNRD82.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3308921","https://realty.daangn.com/articles/3308921","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.267049490986","127.0633338108","분리형 원룸 500만원/35만원 - 삼성전기 도보5분 채광좋은 원룸 입니다.","500","35","7","42","SPLIT_ONE_ROOM","","19.83","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3308921/01KS0B59S737TY8PS11RFVD2KN.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3308921/01KS0B5A263RJRS65S9WSJVHDZ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3284320","https://realty.daangn.com/articles/3284320","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.289076196180986","127.04527214951001","오피스텔 3억 8,000만원/20만원 - 경기도 수원시 영통구","38000","20","25","45","OFFICETEL","","62.99","12.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3284320/01KNTRPZ20P03RE7BD48FP7CZC.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3284320/01KNTRPZD29XQCBPMG7S8N3C23.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3559905","https://realty.daangn.com/articles/3559905","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.264845163345996","127.06451049107","분리형 원룸 500만원/40만원 - 영흥공원근처 세스코방역 관리1등♡","500","40","7","47","SPLIT_ONE_ROOM","","23.10","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3559905/01KRN5P6T2J91VB2WH89RQH6HC.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3559905/01KRN5P73CN93PT7Y03EMA80Z2.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3559286","https://realty.daangn.com/articles/3559286","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.264845163345996","127.06451049107","분리형 원룸 500만원/40만원 - 영흥숲공원근처,양창풀옵션 아늑하고퀄좋은방♡","500","40","7","47","SPLIT_ONE_ROOM","","23.10","5.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3559286/01KRN3JPTM8NPS5FE0AXMD2352.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3559286/01KRN3JQ5X3S9SNA9JPDA098SZ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3315429","https://realty.daangn.com/articles/3315429","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.26493788718598","127.06461044439999","분리형 원룸 300만원/42만원 - 영흥숲푸르지오부근","300","42","7","49","SPLIT_ONE_ROOM","","16.52","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3315429/01KP29RF42ZXNWQF6XYJ4PRH7R.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3315429/01KP29RFH51PBCZVTT75FG3MGC.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3452063","https://realty.daangn.com/articles/3452063","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.260844333408","127.06106340278","오픈형 원룸 500만원/45만원 - 삼세권 도보 5분","500","45","8","53","OPEN_ONE_ROOM","","19.83","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3452063/01KQE41DEEWECWXZ1NK9EK7NWJ.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3452063/01KQE41DP8SMHVHN26F4Y1G1HS.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3452022","https://realty.daangn.com/articles/3452022","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.260844333408","127.06106340278","오픈형 원룸 500만원/45만원 - 삼세권 도보 5분","500","45","8","53","OPEN_ONE_ROOM","","19.83","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3452022/01KQE3VJK9HEWD7DWSBRMYJBP2.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3452022/01KQE3VJTRA08MNVTSKV2MA5F8.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3567086","https://realty.daangn.com/articles/3567086","DIRECT_USER","","경기도","수원시 영통구","광교1동","부산광역시 기장군 정관읍 달산2길 4-3","37.278721510823004","127.03861881291","오픈형 원룸 1,000만원/50만원 - 아주대인근, 오피스텔느낌 원룸","1000","50","8","58","OPEN_ONE_ROOM","","17.10","5.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3567086/01KRQTV2TVCXBMA5FJD1VSPEC0.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3567086/01KRQTV32QJXW5BSKK79D4KD0S.png?q=95&s=1440x1440&t=inside&service=realty",""
