"source","listing_no","room_id","url","agency","agent_name","agent_phone","region","address","latitude","longitude","address_public_level","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","area_m2","floor","direction","parking","move_in","approval_date","building_use","options","security_options","image_1","image_2","crawl_note"
"dabang","56164784","69c109337cb82d1c31aa54ce","https://www.dabangapp.com/room/69c109337cb82d1c31aa54ce","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 357-7","37.2649748080098","127.060336960873","exact_address_visible","경희대버스정류장 바로앞. 미친 가성비. 풀옵션. 안보면 후회","200","35","7","42","원룸","23.14","고층/7층","남동","가능","즉시 입주","2012.03.28","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; 전자레인지; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/jGjFgm-aTZjKoGJv4ZN5S","https://d1774jszgerdmk.cloudfront.net/1024/ZWMXmO6kS_qJKcE0S0jBt",""
"dabang","56934650","69fc2b65f5f545620644be19","https://www.dabangapp.com/room/69fc2b65f5f545620644be19","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동 336","37.2643631664531","127.065125510804","exact_address_visible","리뉴얼로 깔끔하고 밝은방. 안보면 후회. 광교인접","300","40","7.5","47.5","원룸(분리형)","23.14","저층/7층","북서","가능","즉시 입주","2012.11.19","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; 전자레인지; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/M74P4dbwN5fZqA8mdN0cM","https://d1774jszgerdmk.cloudfront.net/1024/voHLaaSSabsyIGGsZocOp",""
"dabang","56995312","6a016dbb384a904e89d84053","https://www.dabangapp.com/room/6a016dbb384a904e89d84053","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 361-15","37.2647619407931","127.060769700714","exact_address_visible","경희대 버정코앞. 흥덕IT밸리 출퇴근용이. 광교인접","500","40","7.7","47.7","원룸(분리형)","23.14","중층/7층","남동","가능","즉시 입주","2015.05.15","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/Q0Lv-Vha2rSzhAGZ6zFGb","https://d1774jszgerdmk.cloudfront.net/1024/H_jIfOXOtkH4l9tinZCne",""
"dabang","56874034","69f8127950cf6a241f1e5653","https://www.dabangapp.com/room/69f8127950cf6a241f1e5653","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 384-25","37.2610282816","127.0602616646","exact_address_visible","어디갈까 고민말고 일단한번 보러와봐. 컨디션 굿이거든","500","42","7.7","49.7","원룸","23.14","2층/6층","동","가능","즉시 입주","2017.08.18","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; TV; 붙박이장; 화재경보기; 베란다","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/D0RER04M5wn7bAIrUqbQ_","https://d1774jszgerdmk.cloudfront.net/1024/2VHvWpFKbB5MYBmgP-lFd",""
"dabang","57108505","6a0a8baa65f3eb377e5665d6","https://www.dabangapp.com/room/6a0a8baa65f3eb377e5665d6","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동 258-29","37.2663607971698","127.06342712281","exact_address_visible","광교인접. 흥덕IT밸리,이노플렉스 출퇴근용이. 컨디션굿","300","42","7.7","49.7","원룸(분리형)","23.14","고층/7층","북서","불가능","2025.09.07","2013.07.17","제2종근린생활시설","벽걸이형; 침대; 신발장; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/e8Y4jYyN7mq4l8qO9TyCO","https://d1774jszgerdmk.cloudfront.net/1024/yG6ozKacB4w_aLN9UBwkl",""
"dabang","56934698","69fc2ba10b57f3621ccc7ca7","https://www.dabangapp.com/room/69fc2ba10b57f3621ccc7ca7","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 361-13","37.2644735750693","127.060832601426","exact_address_visible","경희대통학버스정류장 바로앞. 풀옵션","300","42","8","50","원룸","23.14","고층/7층","남동","가능","2026.04.21","2015.06.03","제2종근린생활시설","벽걸이형; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/O2JaaC3DLktdQg2TDf8Ui","https://d1774jszgerdmk.cloudfront.net/1024/TKe6vRkK7CxYoCjkQzJ_k",""
"dabang","56939778","69fc59ca4e1cff3dac766b88","https://www.dabangapp.com/room/69fc59ca4e1cff3dac766b88","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 361-12","37.264678970814","127.06091393711","exact_address_visible","경희대경유 버스정류장 바로앞. 예쁜 원룸","300","45","7","52","원룸(분리형)","23.14","고층/7층","서","가능","즉시 입주","2015.06.03","제2종근린생활시설","벽걸이형; 책상; 신발장; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/wEGWIEHcoN5tCpda6bora","https://d1774jszgerdmk.cloudfront.net/1024/qmlFf_wZbQgqSm9P1X7CY",""
"dabang","56720933","69eae0254e533b2536434f1b","https://www.dabangapp.com/room/69eae0254e533b2536434f1b","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동 352-9","37.261384866179","127.060708366812","exact_address_visible","화이트톤 넓은방. 눈부시게 밝은방. 수납굿","300","45","8","53","원룸(분리형)","26.44","고층/6층","북서","가능","2026.04.27","2015.09.03","제2종근린생활시설","벽걸이형; 책상; 신발장; 냉장고; 세탁기; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/pO3EVMotEjgVx6rhCpRzC","https://d1774jszgerdmk.cloudfront.net/1024/Z9U3o8cgaJvNak0dehOTx",""
"dabang","56939700","69fc57f2dffd2128331c0ba8","https://www.dabangapp.com/room/69fc57f2dffd2128331c0ba8","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 원천동","경기도 수원시 영통구 원천동 352-16","37.26084405772582","127.06106416288375","exact_address_visible","깔끔. 밝음. 넓음. 광교인접","500","50","8","58","원룸(분리형)","26.44","고층/7층","동","가능","즉시 입주","2015.07.02","제2종근린생활시설","벽걸이형; 신발장; 냉장고; 세탁기; 샤워부스; TV; 붙박이장; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/QdNwlWeI00pi8B8MCUJ7g","https://d1774jszgerdmk.cloudfront.net/1024/KkUlHQZ0UHsnWCEGWnj5K",""
"dabang","57017082","6a02c34ed7af28767a3dfa5a","https://www.dabangapp.com/room/6a02c34ed7af28767a3dfa5a","365부동산공인중개사사무소","배교숙","031-212-0365","경기도 수원시 영통구 매탄동","경기도 수원시 영통구 매탄동 209-27","37.2656509936","127.0475890623","exact_address_visible","준신축 투룸. 기회는 지금","2000","75","15","90","투룸","46.28","중층/4층","남서","가능","2026.06.30","2017.09.26","단독주택","벽걸이형; 신발장; 냉장고; 세탁기; 싱크대; 가스레인지; 화재경보기","CCTV; 현관보안","https://d1774jszgerdmk.cloudfront.net/1024/U-H3MgbF3fhcYV5GcUuVA","https://d1774jszgerdmk.cloudfront.net/1024/JnQgj2Fg0e0ZrfKBQHhrJ",""
